Hashes	sum.taxonomy
forward_vp2_Metazoa_16s_145	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_160	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_161	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_164	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_183	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_185	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_186	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_188	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_202	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_221	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_225	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_235	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_244	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_251	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_261	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_265	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_271	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_274	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_277	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_278	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_287	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_290	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_292	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_320	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_326	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_340	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_357	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_359	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_360	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_376	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_384	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_393	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_399	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
